experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,293,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.293,8,8,None,0.4108835669143591,0.32542402363094414,0.16882530556026665,0.3975292629753945,-0.8187231827020762,"0.32471343120393775,0.414902190416101,0.3964489064407393,0.4080937738221129,0.4142385553730719,0.4308824266278282,0.43847945012527995,0.4469788208617551","0.24799182528437988,0.32055187270135593,0.3028359183470408,0.318759977427396,0.331364230300441,0.34474043916933467,0.3595620508627459,0.3775858749548595","0.10543881240423442,0.17214382761207853,0.1571717354180581,0.16654052823237386,0.17159358075756956,0.18565966557668578,0.19226422818216785,0.19979006629896495","0.29296728725349075,0.35792986561408346,0.35051680586971234,0.3804338081528209,0.4177141059727123,0.42820139008785013,0.461685184273044,0.4907856565794415","-0.1785028133790214,-0.769057523683707,-0.5873609815911911,-0.7150952606189309,-0.8175244717929051,-1.0138171410101813,-1.1506915876319272,-1.3177356819087431","0.12771281599998474,0.12209797650575638,0.11641165614128113,0.1109469011425972,0.10573365539312363,0.10069932788610458,0.0957036241889,0.09015466272830963,0.0850941389799118,0.08007016032934189,0.0747293159365654,0.07008378952741623,0.064666748046875,0.06009645760059357,0.055500902235507965,0.0518009178340435,0.04813026636838913,0.045859742909669876,0.04337518662214279,0.04192110896110535,0.04168757423758507,0.041556235402822495,0.04172692075371742,0.04078424721956253,0.041801899671554565,0.04217555746436119,0.04240553453564644,0.041017211973667145","0.4339790344238281,0.4086073338985443,0.3840482532978058,0.35997694730758667,0.33606722950935364,0.3121534287929535,0.2881324589252472,0.26389071345329285,0.2395820915699005,0.21543128788471222,0.19183017313480377,0.16931667923927307,0.14848728477954865,0.13005609810352325,0.11486270278692245,0.10364042222499847,0.09700291603803635,0.09528237581253052,0.0983302891254425,0.10548653453588486,0.11526253074407578,0.12565577030181885,0.13477128744125366,0.14118623733520508,0.14395932853221893,0.1428418606519699,0.1386115998029709,0.13241083920001984","Alface Crespa - Roça"
1,V0,294,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.294,8,8,None,0.41112983156885347,0.3243816118141015,0.16902773840583382,0.3921199327752113,-0.8238151663815836,"0.33942372689763967,0.37787046281382775,0.39774914532563693,0.4090251011320933,0.41763381609146516,0.43654135566730257,0.4485259687055922,0.4500661441175073","0.26313415010770164,0.2855293667533181,0.3049295537110531,0.3188906253901395,0.32970328629378115,0.34557992994424075,0.3693599485267293,0.377926033785849","0.11520846638108347,0.14278608666713638,0.15820438260727465,0.16730153335611914,0.17441800434311974,0.19056835520784637,0.20117554460328987,0.20255953408080082","0.3066997106542021,0.3335041013059984,0.35667778094731795,0.37863841092914136,0.39716217929740216,0.41833570677897564,0.46409884572560495,0.48184272656304783","-0.28769945961319077,-0.467359035753937,-0.597790234990679,-0.7229323696691743,-0.8474408530630131,-1.0670608182969272,-1.2503746823128283,-1.3498638773529175","0.12175364047288895,0.11671334505081177,0.11221098154783249,0.10705466568470001,0.10239169746637344,0.09725183993577957,0.09224142134189606,0.08728974312543869,0.08216361701488495,0.07686951756477356,0.07214460521936417,0.06678169965744019,0.06141497194766998,0.05698302015662193,0.0523860938847065,0.048106539994478226,0.04553207755088806,0.04306356608867645,0.040825676172971725,0.040996406227350235,0.04110857844352722,0.041347112506628036,0.042192306369543076,0.042431022971868515,0.04188551753759384,0.04118392616510391,0.04161899909377098","0.40457388758659363,0.38339000940322876,0.3622766435146332,0.3408166170120239,0.3188098073005676,0.2963007986545563,0.273221492767334,0.24973803758621216,0.22592830657958984,0.20207062363624573,0.17873354256153107,0.15652760863304138,0.1361750215291977,0.11857404559850693,0.104770228266716,0.09572765976190567,0.09217427670955658,0.09433107823133469,0.10172067582607269,0.11276952922344208,0.1253235787153244,0.1363784819841385,0.14369267225265503,0.14660486578941345,0.14533039927482605,0.14055243134498596,0.1334938108921051","Alface Crespa - Roça"
1,V0,295,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.295,8,8,None,0.4067478833573589,0.3201767900658376,0.16544384061569165,0.3884398902524315,-0.7845014517193033,"0.3430419643793552,0.3641358314884442,0.3904865343888129,0.4233377726217831,0.41206888202173586,0.4284110751498843,0.4414459292867424,0.43974095469217894","0.2678546046849453,0.27419474159587515,0.29746216948104626,0.3237270477034829,0.32920704944928486,0.3438193219936256,0.35791472543369646,0.3672346601847447","0.11767778932524679,0.1325949037737806,0.15247973353898558,0.17921486972837253,0.16980076353064327,0.1835360493110798,0.19487450848383558,0.193372107233589","0.3121350744454076,0.3191224564858104,0.34360008008944115,0.3701840405988821,0.4067975777928841,0.4289826600463591,0.4407181387295485,0.48597909383111876","-0.31529939146448105,-0.36262807314658096,-0.5399739581637171,-0.8456202641239192,-0.7985348967225294,-0.9907826557151571,-1.1798905079887554,-1.2432818664292862","0.12249547988176346,0.11719519644975662,0.11212187260389328,0.10719679296016693,0.1023462563753128,0.09692876785993576,0.0918436348438263,0.08683380484580994,0.08113310486078262,0.07594273239374161,0.07072090357542038,0.06539519876241684,0.060609642416238785,0.05553075298666954,0.05123377963900566,0.04718438908457756,0.04462100565433502,0.04223893955349922,0.04098530113697052,0.040169715881347656,0.03946145251393318,0.03956024348735809,0.04152597859501839,0.041297223418951035,0.04136528819799423,0.04116515442728996,0.039606936275959015","0.4086898863315582,0.3861056864261627,0.3637428879737854,0.34137460589408875,0.31874987483024597,0.2956615388393402,0.27212485671043396,0.24832017719745636,0.22434358298778534,0.2005023956298828,0.1773064136505127,0.1554182469844818,0.13568101823329926,0.1190374493598938,0.10638746619224548,0.09850269556045532,0.09600144624710083,0.09886564314365387,0.10631684213876724,0.11677716672420502,0.12817320227622986,0.13825488090515137,0.14473752677440643,0.14680935442447662,0.1447196900844574,0.13927121460437775,0.13184292614459991","Alface Crespa - Roça"
1,V0,296,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.296,8,8,None,0.41115364665784304,0.32310922542665943,0.16904732116004245,0.3908726554884836,-0.8188717680742996,"0.281279018941885,0.3605964086754485,0.4358084626271508,0.43401773264841254,0.41831959897837345,0.43558390268375224,0.44455352616527405,0.4500867068582176","0.2220057964108207,0.27198351006074384,0.3356207290562717,0.3332538185047381,0.3317278480024049,0.34667411036924883,0.36383641589771626,0.3797715751113314","0.0791178864969093,0.13002976994963109,0.18992901609744067,0.18837139225326888,0.17499128688942717,0.18973333627720856,0.197627837625979,0.20257804369047513","0.2797009052167403,0.3177584105731666,0.3708056514503342,0.38373895934022284,0.40500553266828104,0.427336150842355,0.45620679473439074,0.48642883908237833","0.11568947241419081,-0.33626715533840246,-0.9181941881799927,-0.9399174814612388,-0.8535130793815349,-1.0580035175075326,-1.2106895904804764,-1.35007860465941","0.128904327750206,0.12324318289756775,0.11810784786939621,0.11345889419317245,0.10880082100629807,0.10385310649871826,0.09904785454273224,0.09406336396932602,0.08917097747325897,0.08414121717214584,0.07930777221918106,0.07430607080459595,0.06964768469333649,0.0642058253288269,0.05972253903746605,0.055365968495607376,0.051102735102176666,0.047778915613889694,0.04525648429989815,0.042700983583927155,0.04105117544531822,0.04079337790608406,0.040471822023391724,0.040965452790260315,0.04094713553786278,0.04198499768972397,0.04162382706999779,0.041298698633909225,0.042148470878601074","0.44094452261924744,0.4179845154285431,0.39585283398628235,0.37402838468551636,0.3522046208381653,0.33017104864120483,0.30776843428611755,0.28498944640159607,0.261705607175827,0.2381250411272049,0.21449731290340424,0.1911703199148178,0.16869577765464783,0.14765577018260956,0.12873126566410065,0.11271638423204422,0.10044439136981964,0.09266924858093262,0.08987955003976822,0.09211152791976929,0.09888745844364166,0.10891535133123398,0.1203247532248497,0.13080711662769318,0.13867679238319397,0.14255887269973755,0.14250874519348145,0.13908350467681885,0.1330677717924118","Alface Crespa - Roça"
1,V0,297,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.297,8,8,None,0.41641880830675615,0.32818087961998854,0.17340462391161893,0.3944487206339057,-0.865653500083555,"0.31128721594949754,0.3673974213262967,0.45867154796425824,0.42449456148036874,0.41091644814790357,0.4357546025391109,0.45013079407286155,0.45103108637724537","0.2381114950469046,0.27762214630300347,0.35885012626647955,0.3265443265149088,0.329987200014519,0.34446196005561136,0.3685591612078928,0.3813106215505889","0.0968997308135891,0.13498086519721236,0.21037958891192887,0.18019563272641057,0.16885232735848874,0.18988207363401854,0.2026177317726649,0.20342904087863817","0.2823487100203568,0.324865669418988,0.3947852139500424,0.37774651278108046,0.41257502617894287,0.4177596801065921,0.45782943600736153,0.4876795166078811","-0.08306042884544551,-0.38714770342256566,-1.124735404070763,-0.8557205201251394,-0.7884890316895019,-1.0596168449781067,-1.2665071674989274,-1.35995090003799","0.12245085090398788,0.1167653277516365,0.11140701919794083,0.10594147443771362,0.10092838108539581,0.09573358297348022,0.09056086838245392,0.08502422273159027,0.0795096680521965,0.07458071410655975,0.06888651102781296,0.06382420659065247,0.058608975261449814,0.054397061467170715,0.050305336713790894,0.0470159538090229,0.04404940456151962,0.04217202216386795,0.04223822057247162,0.04036979004740715,0.04125791788101196,0.041479479521512985,0.040974877774715424,0.04274716600775719,0.04141548275947571,0.0405564084649086","0.40370267629623413,0.3792356252670288,0.3554166853427887,0.33177533745765686,0.3079283535480499,0.2837742269039154,0.25936463475227356,0.23472584784030914,0.2101978212594986,0.18619230389595032,0.1633288860321045,0.1424335241317749,0.12440025061368942,0.11007679253816605,0.10037705302238464,0.09596902132034302,0.09700164943933487,0.10291677713394165,0.11222323775291443,0.12337066233158112,0.13396340608596802,0.14174436032772064,0.14593520760536194,0.1455918699502945,0.1415407508611679,0.13528278470039368","Alface Crespa - Roça"
2,V0,298,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.298,8,8,None,0.33911681709335667,0.2609928559353857,0.11500021563552912,0.33143052019731567,-0.23908302279800314,"0.22713983088395032,0.29819787093143607,0.3353917434807788,0.34963835875226473,0.36213004163048357,0.36858144646286856,0.372963641557885,0.37237121387678884","0.17677850691477456,0.2240210087877331,0.25602742559259584,0.2632207613930557,0.277723204200918,0.29062108651796975,0.2990924168427785,0.30045843723326016","0.05159250277398955,0.08892197022804141,0.11248762159507654,0.12224698191097738,0.13113816705129575,0.13585228267666044,0.13910187792411852,0.1386603209240732","0.25046247133541666,0.27703990600910194,0.3151868887707674,0.3129558881075686,0.3355514784695292,0.36521358944982996,0.3888190488940989,0.4062148905422126","0.4233441340812195,0.08618227772194786,-0.13607234123282352,-0.25894412324632343,-0.38901948866337044,-0.4735653791567227,-0.5560109205116921,-0.6085783413762595","0.1251007467508316,0.11781394481658936,0.11040882766246796,0.1035054549574852,0.09649098664522171,0.08930710703134537,0.08182799816131592,0.07564973086118698,0.06853903084993362,0.061912599951028824,0.05650361254811287,0.051653116941452026,0.04808449000120163,0.04545263573527336,0.04427308589220047,0.04400486499071121,0.045483045279979706,0.04488345980644226,0.04543996602296829,0.045501708984375,0.04514797031879425,0.04351064935326576,0.042081691324710846,0.04223217815160751,0.041849177330732346,0.0405401885509491,0.03976712003350258,0.039028968662023544,0.0383613184094429,0.03824145346879959,0.03805243596434593,0.03762773424386978,0.037123262882232666,0.03708816319704056,0.036842264235019684","0.41277065873146057,0.3855636715888977,0.3583761751651764,0.3309731185436249,0.30289676785469055,0.27429676055908203,0.24529801309108734,0.21647776663303375,0.1887168437242508,0.16291970014572144,0.14021694660186768,0.12169425189495087,0.10825745761394501,0.10006646811962128,0.0964469462633133,0.0958876833319664,0.0963483452796936,0.0963527113199234,0.09511882066726685,0.09289884567260742,0.09031475335359573,0.08807232230901718,0.08651051670312881,0.0856737494468689,0.08547332137823105,0.0858030915260315,0.08649859577417374,0.08728887885808945,0.08798713237047195,0.08849015831947327,0.08876088261604309,0.08876433223485947,0.0885930135846138,0.08835210651159286,0.0880749523639679","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,299,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.299,8,8,None,0.3343523136401715,0.2599911995033423,0.1117914696365356,0.33520548771535164,-0.20509635385366048,"0.23267800557457377,0.2944649553620713,0.3215557597090271,0.3473474152800088,0.35510202314178957,0.3662298781657382,0.3666540821779295,0.3671209240775591","0.18192075784278636,0.22072284819863058,0.2462262298555085,0.2705849473042921,0.2789723553007299,0.29442649298725704,0.29139233618794064,0.29568362834959316","0.05413905427816138,0.08670960993638663,0.1033981066020496,0.12065022690170289,0.12609744683939206,0.13412432366129146,0.13443521597773989,0.13477777289556092","0.25273564695461276,0.2800330617714401,0.3110915049440956,0.3366657310201341,0.3488143074746487,0.37650193805704235,0.3711525750121803,0.40464913648865897","0.3948810089411591,0.10891787430616351,-0.0442724931040146,-0.24250015625616794,-0.335628025532009,-0.4548225171931164,-0.5038090591186872,-0.563537462872612","0.13200919330120087,0.12405087798833847,0.11670281738042831,0.1095077320933342,0.10235368460416794,0.09503430873155594,0.08789809793233871,0.0808384045958519,0.07395016402006149,0.06729597598314285,0.060252945870161057,0.05461178719997406,0.049916572868824005,0.04551524668931961,0.04383780434727669,0.04356144741177559,0.04299120604991913,0.04457678273320198,0.044247981160879135,0.04571295157074928,0.04564915597438812,0.04403214156627655,0.04297703504562378,0.042461469769477844,0.04074029251933098,0.040051575750112534,0.03893066942691803,0.03909260407090187,0.038619812577962875,0.037589073181152344,0.03748541325330734,0.037430405616760254,0.0373176634311676,0.036610525101423264","0.45391345024108887,0.4252965450286865,0.39733177423477173,0.36963486671447754,0.3417484164237976,0.3131850063800812,0.2838926911354065,0.2540675103664398,0.2241450846195221,0.19484326243400574,0.16695940494537354,0.1417253464460373,0.12062904983758926,0.10502733290195465,0.09557631611824036,0.09175871312618256,0.09173251688480377,0.09301085025072098,0.09376754611730576,0.09316831827163696,0.09144240617752075,0.08944442123174667,0.0878806933760643,0.08714976161718369,0.08732758462429047,0.08822110295295715,0.08940894901752472,0.09059648960828781,0.0916319265961647,0.09235113859176636,0.09274248778820038,0.09276377409696579,0.09251303225755692,0.0920838713645935","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,300,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.300,8,8,None,0.33492432703097624,0.2607872075429468,0.11217430483715231,0.3377535914790997,-0.20970070808240207,"0.22017945601751893,0.2861327388506632,0.32315010991977977,0.34664812855357424,0.35810821839442486,0.368794697009815,0.37640151126240384,0.3694908127777917","0.17327332738674042,0.21600318910858848,0.2452348597555449,0.26783236109849173,0.2862201433759747,0.28963900950460725,0.30835068215745864,0.2997440879561684","0.048478992852170555,0.08187194424218182,0.10442599354116575,0.12016492502969532,0.12824149608162907,0.13600952854256124,0.14167809768062153,0.13652346072719312","0.23622168597308935,0.2742449650964157,0.3056806257336307,0.3306957916076595,0.36163891955516514,0.3653503340144547,0.4131046556824358,0.41509175416994687","0.45814422447184144,0.15863274943189287,-0.05465367020497491,-0.23750234011204996,-0.3583378608841854,-0.47527099690153785,-0.5848288353707813,-0.5837889350894205","0.13291746377944946,0.12451726943254471,0.11749541014432907,0.11042188853025436,0.10400969535112381,0.09747316688299179,0.09072694182395935,0.08410410583019257,0.07741586118936539,0.07072652131319046,0.06407952308654785,0.05792338773608208,0.05274999141693115,0.048467155545949936,0.04491612687706947,0.04256197810173035,0.042043536901474,0.043381258845329285,0.043935347348451614,0.044631291180849075,0.04358380660414696,0.04344746097922325,0.0439751110970974,0.04264175519347191,0.04198634251952171,0.04118059575557709,0.03829548880457878,0.03950495645403862,0.03795989975333214,0.038875412195920944,0.03766239061951637,0.038049258291721344,0.036842890083789825,0.036118000745773315,0.03650841861963272","0.4557304382324219,0.4279836416244507,0.40176984667778015,0.3762248158454895,0.3504946231842041,0.32386887073516846,0.2960115671157837,0.26713332533836365,0.2377101182937622,0.2082446664571762,0.179728701710701,0.1533041000366211,0.1301497220993042,0.11158911883831024,0.0986301377415657,0.09157145023345947,0.08948341757059097,0.09029883146286011,0.09175773710012436,0.09228108078241348,0.09159650653600693,0.09015200287103653,0.08854752779006958,0.08743676543235779,0.08700364083051682,0.08724331855773926,0.08799266070127487,0.0889669880270958,0.08985769748687744,0.09056519716978073,0.09099183976650238,0.09109900146722794,0.09087406098842621,0.09045600891113281,0.09002677351236343","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,301,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.301,8,8,None,0.33658639335346924,0.2621565602223078,0.11329040019069633,0.33787690183499586,-0.22103206503573739,"0.23187899298468861,0.29903394760183744,0.3268000138819956,0.34566478988056465,0.3661176100203921,0.36217881095886323,0.36274025510619123,0.374239960632302","0.18276244701761185,0.22694073773152898,0.24636438013568063,0.267237980445226,0.2923165370840014,0.28769304242278587,0.2873889978076472,0.3065483591339805","0.053767867387593274,0.08942130181833845,0.10679824907327252,0.1194841469631749,0.13404210436704392,0.131173491107576,0.1315804926745047,0.14005554813406695","0.24929851327872918,0.29043102971883467,0.3054163637733474,0.3311499181435444,0.3732569111493889,0.36444824786994867,0.36521977720635634,0.42379445353981715","0.39902981131145554,0.0810508343302131,-0.07861234101823578,-0.23049143863470323,-0.4197780818031789,-0.42281536497475525,-0.47187576892043204,-0.6247641705762632","0.12483996152877808,0.11755522340536118,0.11052574217319489,0.10369124263525009,0.09682957828044891,0.08984971046447754,0.08318692445755005,0.07571621984243393,0.0693490132689476,0.06302239000797272,0.057212673127651215,0.052507366985082626,0.04840855300426483,0.04584096744656563,0.04433711618185043,0.04376459866762161,0.043796930462121964,0.04525793716311455,0.045692846179008484,0.04593002796173096,0.04692589119076729,0.045195650309324265,0.04419822245836258,0.04323602095246315,0.04171948507428169,0.041664715856313705,0.04018835723400116,0.039504505693912506,0.03890882432460785,0.03886805474758148,0.03918756917119026,0.03864474594593048,0.037536077201366425,0.03718743473291397","0.42132246494293213,0.39427193999290466,0.3676559031009674,0.34088197350502014,0.3137581944465637,0.2860257029533386,0.25760114192962646,0.2288578748703003,0.20049826800823212,0.17334969341754913,0.1484239101409912,0.12687720358371735,0.10977298021316528,0.09786035120487213,0.09118719398975372,0.08891886472702026,0.08940931409597397,0.09071554988622665,0.0913606658577919,0.09087624400854111,0.08955652266740799,0.08807593584060669,0.08703436702489853,0.0867556780576706,0.08721170574426651,0.08818802982568741,0.08941052109003067,0.09053588658571243,0.09130962193012238,0.09168889373540878,0.09175907075405121,0.09163235872983932,0.091312937438488,0.09083479642868042","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,302,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.302,8,8,None,0.33400381044202354,0.26078150743065454,0.1115585453897912,0.3390632251451854,-0.20250116683873257,"0.22668251622949878,0.2909040414345851,0.3218435820079585,0.34878885475981697,0.3598338304340699,0.36591173688913076,0.36085288583141284,0.3709914988458703","0.17711904699874645,0.21884539888121862,0.24412744555328827,0.2719767890915725,0.2839280164097294,0.2928754137790564,0.2925486541950341,0.3048312945365906","0.051384963164136974,0.0846251613229748,0.10358329127971348,0.12165366520466471,0.12948038552485497,0.13389139919322043,0.13021480521285866,0.13763469221590538","0.24315838079881344,0.2841058941629946,0.3049677512233986,0.3411751692597321,0.3587507313879918,0.3702200200882505,0.38643794362070805,0.423689910619594","0.42566383029669996,0.13033897056874888,-0.04614277169405678,-0.2528339308394454,-0.3714602158753679,-0.4522960272045393,-0.4565990189869311,-0.5966801709749676","0.1265624314546585,0.11929909884929657,0.11195402592420578,0.10521410405635834,0.09839977324008942,0.09169194847345352,0.08495974540710449,0.07781337201595306,0.07110226154327393,0.06437716633081436,0.05819500982761383,0.053277868777513504,0.047722361981868744,0.044459715485572815,0.04221159219741821,0.041977159678936005,0.04238814115524292,0.04385827109217644,0.044876083731651306,0.04557768628001213,0.046208277344703674,0.04495779052376747,0.04302913323044777,0.04237455129623413,0.04148095101118088,0.040918827056884766,0.03919027000665665,0.039153844118118286,0.03849204629659653,0.038517072796821594,0.0365285649895668,0.03689222410321236,0.036698728799819946,0.03669000789523125","0.43254828453063965,0.4055808186531067,0.3790489137172699,0.35250842571258545,0.32531237602233887,0.2975587248802185,0.26895031332969666,0.23982921242713928,0.21077027916908264,0.18247027695178986,0.156021386384964,0.1325974464416504,0.11348193883895874,0.09971921145915985,0.09171061962842941,0.08894430100917816,0.08973722904920578,0.09164963662624359,0.09281516820192337,0.09247935563325882,0.09088628739118576,0.08895868808031082,0.08741803467273712,0.08662007749080658,0.08665116876363754,0.08737494051456451,0.08846928924322128,0.08964145928621292,0.09062789380550385,0.09137030690908432,0.09175173193216324,0.09177490323781967,0.09144630283117294,0.09093797206878662","Alface Crespa - Roça,Alface Crespa - Roça_+50"
