experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,442,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.442,8,8,None,0.4188082444868753,0.33072165977413004,0.1754003456501783,0.39809954389623375,-0.892835884409944,"0.35213181518469044,0.40016302316546254,0.3763754312989244,0.4309828283137616,0.4269074297378319,0.44029140500277136,0.45651937937524373,0.4551422004282005","0.2714252094788985,0.30370299207802975,0.2941247406945084,0.3306534818880486,0.3342454337495746,0.3508599677374869,0.37457301952622163,0.38618843304027217","0.123996815265265,0.1601304451089225,0.14165846528545137,0.18574619830132932,0.1822499535653619,0.19385652131931444,0.20840994374515773,0.20715442261062425","0.3163587520585418,0.34507113066167194,0.3602726936947242,0.38172935743290903,0.4016710650527015,0.4285546453398663,0.46260707151829955,0.4885316354111554","-0.385927935909538,-0.6456004994214721,-0.43068421245147315,-0.9128822741578566,-0.9303970995054462,-1.1027269672000557,-1.331299571581595,-1.4031685150521147","0.12241696566343307,0.11742467433214188,0.11262664943933487,0.10742112994194031,0.10251862555742264,0.09747803211212158,0.09178951382637024,0.08678551018238068,0.08131348341703415,0.07560648769140244,0.07024626433849335,0.06467190384864807,0.05964814871549606,0.05516471341252327,0.0506657250225544,0.047548919916152954,0.04470596835017204,0.042768362909555435,0.042099129408597946,0.041821982711553574,0.041462745517492294,0.042925503104925156,0.041803114116191864,0.043407637625932693,0.04272674769163132,0.04150573909282684","0.4076704978942871,0.38584986329078674,0.3639853000640869,0.3416404724121094,0.31836041808128357,0.2941819727420807,0.2691725194454193,0.24356819689273834,0.2178577333688736,0.19245201349258423,0.16808393597602844,0.14558517932891846,0.12597356736660004,0.11026754975318909,0.09944556653499603,0.09420790523290634,0.09476424753665924,0.10058461874723434,0.11022979021072388,0.121479332447052,0.1318148374557495,0.13896818459033966,0.1421869993209839,0.1410038024187088,0.13631805777549744,0.1294957548379898","Alface Crespa - Roça"
1,V0,443,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.443,8,8,None,0.4135555835516545,0.3260982105840336,0.17102822068674947,0.39259554664983565,-0.8446401540563857,"0.31494538593560795,0.34673435697059474,0.4158409303684804,0.39920518402691113,0.4776498729330459,0.4306284748237869,0.4310419411507378,0.4659769922124478","0.24109053984555331,0.26436648114522293,0.3153659591602557,0.3154108926816421,0.3851914598508315,0.34278941073562164,0.3500153355164962,0.39455560573664583","0.09919059612212903,0.1202247143038118,0.17292367936972336,0.15936477895395998,0.2281494011129549,0.18544088332906086,0.1857971550309961,0.21713455727135966","0.2865416808210979,0.3168865940038144,0.3562912258079694,0.38443426936213115,0.4365429992537494,0.42149760338386116,0.453049052658004,0.48552094790805794","-0.10866571734998742,-0.23550427756934234,-0.7464482446196044,-0.6411967705071109,-1.41656545610258,-1.0114440491539227,-1.0783501024043836,-1.518946614744154","0.12550382316112518,0.12027647346258163,0.11535606533288956,0.11023756861686707,0.10500803589820862,0.09969819337129593,0.09471461921930313,0.08917369693517685,0.0839490219950676,0.07827649265527725,0.07278191298246384,0.06766102463006973,0.062221575528383255,0.05712678283452988,0.05327039957046509,0.04902079328894615,0.045737165957689285,0.04303374141454697,0.04159248247742653,0.040947090834379196,0.0403105691075325,0.04079543054103851,0.04104055091738701,0.04235333949327469,0.0408722385764122,0.04063255712389946,0.040724799036979675","0.4265460968017578,0.40345728397369385,0.3805903494358063,0.35764554142951965,0.3342457711696625,0.31016072630882263,0.28552231192588806,0.26050493121147156,0.23523235321044922,0.21007543802261353,0.18556629121303558,0.16223663091659546,0.14097227156162262,0.12269947677850723,0.10833237320184708,0.09876749664545059,0.0946168527007103,0.09594836831092834,0.10214623808860779,0.11167709529399872,0.12243285775184631,0.13194572925567627,0.13802389800548553,0.1396525800228119,0.1376909464597702,0.13315682113170624,0.1265483945608139","Alface Crespa - Roça"
1,V0,444,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.444,8,8,None,0.4150018353017805,0.32858179181633573,0.17222652330384614,0.39839496138107877,-0.8579936743644192,"0.32539844186010153,0.36641236264767035,0.40840265855814856,0.41366516699134703,0.41989072303110225,0.45324881728381755,0.46877340814906826,0.44527205304279144","0.24922131672772493,0.2785687758922577,0.3113152333895366,0.32482424176823016,0.33355767158306004,0.36271720522822753,0.3897498909271125,0.3786999990145366","0.10588414596498186,0.1342580195010479,0.16679273151736365,0.17111887038197904,0.1763082192875818,0.2054344903691794,0.21974850818769295,0.19826720122094246","0.29432860846610326,0.3286838153248941,0.36014367747998155,0.39183757713134654,0.41203833832908515,0.4319091005956725,0.46938266972261206,0.4988359039989352","-0.18348036236943344,-0.3797192894329351,-0.6845285401948868,-0.7622447022931125,-0.8674620677456428,-1.2283111238787874,-1.458134164750314,-1.30006914425024","0.1296217143535614,0.12408027052879333,0.11883004009723663,0.11372468620538712,0.10902900993824005,0.10361745953559875,0.09860581159591675,0.09343324601650238,0.08820775151252747,0.08268287032842636,0.07774072140455246,0.07218250632286072,0.06693515181541443,0.06191413849592209,0.057171352207660675,0.05264999717473984,0.04886559024453163,0.04596427455544472,0.043744053691625595,0.041969653218984604,0.041481778025627136,0.04145336523652077,0.04175237938761711,0.04192047938704491,0.04200512915849686,0.04280611127614975,0.04314646124839783,0.040815770626068115","0.4439045190811157,0.42015141248703003,0.3969818949699402,0.37398219108581543,0.3510027527809143,0.3275791108608246,0.3035582900047302,0.27889761328697205,0.253683477640152,0.22824405133724213,0.2030283808708191,0.17860062420368195,0.15560004115104675,0.13477832078933716,0.1170390173792839,0.10329172760248184,0.09439992159605026,0.0908866673707962,0.09288567304611206,0.0997866615653038,0.11000809073448181,0.12134429067373276,0.13141049444675446,0.13842490315437317,0.1415129005908966,0.14062118530273438,0.13605348765850067,0.1295798271894455","Alface Crespa - Roça"
1,V0,445,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.445,8,8,None,0.41283554236688075,0.3267648196346832,0.17043318504135657,0.3960402196963639,-0.8388324143017178,"0.3069086188508237,0.3589786962588275,0.38272003036943425,0.4532653625177751,0.4162194400620254,0.42976334442910363,0.47762237495224275,0.4499160783728882","0.23692370705171065,0.27006379772677563,0.29668681383855416,0.3540691090352608,0.332345389510646,0.34534301070011025,0.39725129206975307,0.3814354371446553","0.09419290032492018,0.12886570436768752,0.14647462164598068,0.2054494888583701,0.17323862228554593,0.18469653221488835,0.22812313305502077,0.2024244775784389","0.2884530248033167,0.31318888253949007,0.35411252895270123,0.3984381388404491,0.41158143793577245,0.4378278070731277,0.4692398685492978,0.49548006887675594","-0.052805845419311215,-0.3243044901393972,-0.47932513804545307,-1.1157939654539657,-0.8349488021263156,-1.0033702059311929,-1.5518137609083142,-1.3482971063897922","0.1256532222032547,0.11956854909658432,0.11371594667434692,0.10823684185743332,0.10242674499750137,0.0962410569190979,0.09085949510335922,0.08491577208042145,0.07930843532085419,0.07326895743608475,0.06761091947555542,0.06239977851510048,0.05758413299918175,0.0527409203350544,0.0491582415997982,0.04623734951019287,0.04324799031019211,0.041933804750442505,0.04124879091978073,0.0419946126639843,0.040663283318281174,0.04175364971160889,0.041652970016002655,0.04217652603983879,0.04227926582098007,0.041662536561489105","0.42140570282936096,0.39510273933410645,0.3687605857849121,0.3422826826572418,0.3155565857887268,0.28854504227638245,0.26148927211761475,0.2345968335866928,0.20824402570724487,0.18288472294807434,0.1592607945203781,0.13820675015449524,0.1206245943903923,0.10740810632705688,0.09932132810354233,0.09679965674877167,0.0997467190027237,0.10734263062477112,0.11794660985469818,0.12898851931095123,0.13856539130210876,0.1449284553527832,0.1468946933746338,0.14457060396671295,0.13898296654224396,0.13172072172164917","Alface Crespa - Roça"
1,V0,446,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.446,8,8,None,0.41119514529668943,0.32216703474160396,0.16908144751556553,0.38793773037993995,-0.8200866444650674,"0.2933045176352696,0.33531088585771807,0.41000200723193087,0.4530124337034392,0.4383810051993756,0.45366604134842525,0.4312940860441935,0.4436928750964918","0.22563416012850676,0.2587510016036756,0.3098397455215454,0.3550184945265452,0.3416790164456224,0.36236170181361116,0.3499296249115106,0.37412253298181486","0.08602754006525819,0.11243339017468763,0.16810164593421228,0.20522026508991287,0.192177905719615,0.20581287707275112,0.1860145886566962,0.19686336741139107","0.2753623421538089,0.31397488581885813,0.35123580595871545,0.3946715888020659,0.3993952825958431,0.429372395078779,0.4520701881668011,0.48741935446464774","0.038459408985986654,-0.15543576299474005,-0.697747963318397,-1.1134333352633754,-1.035554273308104,-1.232415416683669,-1.0807823420054938,-1.2837834711327476","0.12623964250087738,0.12096279859542847,0.11590524762868881,0.11072427779436111,0.1052212044596672,0.10017534345388412,0.09506946802139282,0.08918552100658417,0.08412046730518341,0.07801399379968643,0.07255978882312775,0.0673002079129219,0.06180042773485184,0.05698299780488014,0.05229440703988075,0.04833507537841797,0.04495660588145256,0.04277056083083153,0.0412311926484108,0.04039657860994339,0.04038173705339432,0.04097626730799675,0.04058433324098587,0.04113449528813362,0.04075486212968826,0.040632739663124084,0.04048721492290497","0.4312564432621002,0.4080948531627655,0.38513174653053284,0.3620428442955017,0.3385365605354309,0.3143462538719177,0.2893477976322174,0.2635496258735657,0.23744267225265503,0.21146711707115173,0.18614955246448517,0.1621752381324768,0.14036992192268372,0.12164626270532608,0.10697931796312332,0.0972568690776825,0.09312082827091217,0.09470386058092117,0.10142815858125687,0.11174513399600983,0.12324406951665878,0.13321642577648163,0.14005625247955322,0.14280924201011658,0.14159159362316132,0.13712123036384583,0.13035984337329865","Alface Crespa - Roça"
2,V0,447,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.447,8,8,None,0.33118449973678493,0.25681759843049623,0.10968317286590448,0.331624071892483,-0.18188426757232473,"0.22414947649536074,0.2862972813734107,0.3231307526550277,0.3437620493486824,0.35896282097451,0.36190416681859344,0.3642175721322206,0.3608144388130101","0.1782630841659777,0.21640204962094622,0.24855952502019477,0.2693235146349126,0.2758967347361824,0.2880577823899009,0.29250553456942235,0.28553256230643304","0.05024298781314428,0.0819661333218059,0.1044134833114047,0.11817234657240594,0.12885430684197813,0.1309746259606603,0.1326544398498893,0.13018705925594742","0.23626265855962117,0.27740168482447364,0.31655884892544833,0.3441394131192483,0.3384028011839757,0.3683698556436926,0.38584723027629453,0.3860100826071098","0.43842783183718326,0.1576648036027034,-0.054527322738360695,-0.2169820385087069,-0.36482877125854296,-0.42065831034275236,-0.48388907569881145,-0.5102812574713103","0.12361543625593185,0.11594884097576141,0.10820744186639786,0.1004767119884491,0.0929088145494461,0.08565293997526169,0.07803042232990265,0.0707801803946495,0.06353442370891571,0.057298220694065094,0.052106160670518875,0.04819959029555321,0.04442082345485687,0.04310347139835358,0.04246044531464577,0.04347044229507446,0.04473651945590973,0.04489465430378914,0.04507056623697281,0.044754814356565475,0.042827729135751724,0.04336440563201904,0.041718706488609314,0.040786758065223694,0.04005464166402817,0.03828907012939453,0.038369785994291306,0.03715189918875694,0.03724100813269615,0.0377286821603775,0.036687176674604416,0.03648248314857483,0.03606386482715607","0.41035032272338867,0.3816126883029938,0.3523084819316864,0.32237106561660767,0.29183101654052734,0.26075929403305054,0.22966821491718292,0.19927209615707397,0.17032074928283691,0.14385537803173065,0.12123766541481018,0.10373256355524063,0.09207186847925186,0.08615222573280334,0.08475477993488312,0.08589975535869598,0.08740127086639404,0.0879177451133728,0.08709901571273804,0.08546394109725952,0.08372392505407333,0.08247289806604385,0.08205919712781906,0.08245768398046494,0.08341468870639801,0.08456367254257202,0.0855972096323967,0.08632536232471466,0.08666086941957474,0.0866905227303505,0.08651197701692581,0.08619463443756104,0.0858011394739151","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,448,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.448,8,8,None,0.33437452377708254,0.26095045339338707,0.11180632215115074,0.33659993049911097,-0.20493107714366207,"0.23078130346051032,0.2921566695656182,0.33048205432757055,0.34391556527709033,0.35696777962089005,0.3641797613316311,0.3633738414154507,0.3691142105935709","0.18246633439353016,0.220496643333724,0.25621054967966944,0.26739864266279967,0.27901030394525234,0.2821437292171247,0.29656107191605996,0.30331635199893603","0.053260010026932154,0.08535551957167382,0.1092183882325713,0.1182779160398606,0.12742599568746832,0.1326268985635638,0.13204054862502113,0.136245300462115","0.2515256577659211,0.2798678993466966,0.32684164498872265,0.33643766124793273,0.34821290078018774,0.34781413704104586,0.38585032489140564,0.4162492179309756","0.4047061966451576,0.12283335289561892,-0.10305461405971794,-0.21806923148941437,-0.34970005569007423,-0.43858021534572234,-0.477022012046211,-0.5805620380589345","0.13050521910190582,0.12364436686038971,0.11680657416582108,0.11018935590982437,0.1032528281211853,0.09614440053701401,0.08905742317438126,0.08191143721342087,0.0750168189406395,0.067741759121418,0.06120910122990608,0.055547233670949936,0.0506608784198761,0.04656843841075897,0.04434766247868538,0.04447244480252266,0.04404811933636665,0.045444805175065994,0.04523914307355881,0.04664098843932152,0.04551587626338005,0.045584529638290405,0.04399426653981209,0.041579362004995346,0.0420440249145031,0.040520500391721725,0.04022003710269928,0.0396319180727005,0.038628507405519485,0.0388546958565712,0.0383262038230896,0.03724970296025276,0.03753837198019028,0.036741647869348526","0.4494427740573883,0.4236352741718292,0.39789775013923645,0.3718896508216858,0.34499818086624146,0.31685829162597656,0.28772473335266113,0.2576928436756134,0.22729481756687164,0.1974463313817978,0.16929836571216583,0.14409513771533966,0.12306597083806992,0.1072731539607048,0.09716203808784485,0.09219694882631302,0.0907193124294281,0.09065954387187958,0.09046313166618347,0.08942266553640366,0.08783844113349915,0.08622365444898605,0.08515089005231857,0.08492813259363174,0.08556437492370605,0.08683651685714722,0.08842121809720993,0.09000911563634872,0.091338150203228,0.09220080077648163,0.09254854917526245,0.09237358719110489,0.0919632837176323,0.09141817688941956","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,449,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.449,8,8,None,0.3348473778961375,0.25947754366921655,0.11212276648391871,0.3340630363012509,-0.20937522229790717,"0.23508383288677145,0.29374888730470666,0.31944668917291186,0.34072360815458014,0.3603263239175621,0.36289582626062544,0.3751860077816188,0.36742015371508324","0.18476548795266584,0.22276400730826634,0.24075880903908697,0.2607840739235733,0.2859206574252157,0.2815854794617855,0.30006237352255616,0.29917946072058244","0.05526440848473549,0.08628840879275325,0.10204618722353496,0.11609257715387589,0.12983505970794387,0.13169338071738204,0.14076454043510894,0.1349975693560154","0.25627593711404306,0.28849369279282866,0.2958294723205555,0.31927549922845083,0.36381054654736883,0.34627536413784954,0.38888744503637374,0.41365633323253737","0.3823027840137865,0.11324640041404066,-0.030618739991197685,-0.19556381250233779,-0.3752169357038795,-0.428454514460501,-0.5746096703117327,-0.5660872898414375","0.12385886162519455,0.11614415049552917,0.10848890990018845,0.1015038788318634,0.09351573884487152,0.08622299134731293,0.07901366800069809,0.07198090851306915,0.06507536768913269,0.058671437203884125,0.05249881371855736,0.048644885420799255,0.045577406883239746,0.043462853878736496,0.04359767585992813,0.04448113217949867,0.044846996665000916,0.046161022037267685,0.0459834486246109,0.04501378908753395,0.044239386916160583,0.04284714534878731,0.04177011922001839,0.04021649435162544,0.0400732047855854,0.03942398354411125,0.038960158824920654,0.037795498967170715,0.03784595802426338,0.03717895224690437,0.036833930760622025,0.0364411398768425,0.03616422414779663","0.40799394249916077,0.3808378279209137,0.353382408618927,0.32516613602638245,0.2960594892501831,0.26622748374938965,0.23602217435836792,0.20612359046936035,0.177479550242424,0.1511668860912323,0.12843088805675507,0.11043224483728409,0.09803205728530884,0.09136751294136047,0.08940349519252777,0.09001018106937408,0.09100348502397537,0.09093397855758667,0.08954554051160812,0.08741851150989532,0.08544652163982391,0.08424150198698044,0.08395371586084366,0.08446360379457474,0.08545222133398056,0.08660376071929932,0.08773566782474518,0.08864591270685196,0.08924195915460587,0.08949470520019531,0.08943402767181396,0.08905410766601562,0.0885712131857872","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,450,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.450,8,8,None,0.33591675048885583,0.25925088567264154,0.11284006325899222,0.3297303505500481,-0.2154065435973117,"0.23018961757853176,0.30030803316701277,0.33386077509098216,0.34679084592987813,0.3561288520514017,0.36640901383981467,0.36095600068040007,0.36938985390442425","0.18132108244028958,0.22830556697556464,0.25626804550488785,0.2673089323549559,0.2712338775793711,0.29273236100601424,0.28341322765928323,0.2934239918607654","0.052987260040950696,0.09018491478463964,0.11146301714435136,0.12026389082076049,0.12682775926344916,0.1342555654230655,0.13028923442718898,0.13644886416753188","0.25163616111084064,0.2877864131464635,0.3167585494058818,0.33070065971254453,0.32932886850507126,0.37468076930164673,0.3607175452368564,0.38623383798108013","0.40775475740280265,0.07320347040229047,-0.1257243157286212,-0.23852152601845256,-0.34336351713325675,-0.4562460730777831,-0.4574315934426567,-0.5829235511828166","0.129566490650177,0.12184153497219086,0.11467041820287704,0.10708505660295486,0.10014815628528595,0.09341931343078613,0.08667543530464172,0.07951842248439789,0.07326333224773407,0.06675172597169876,0.060895223170518875,0.054613612592220306,0.0507732592523098,0.04756657034158707,0.045099109411239624,0.04306163638830185,0.04365835711359978,0.04377220571041107,0.04486677050590515,0.0443451888859272,0.045408960431814194,0.04512481018900871,0.044386524707078934,0.044050633907318115,0.04139198735356331,0.04100216552615166,0.04031016305088997,0.039496876299381256,0.03874320536851883,0.03849957138299942,0.03856972977519035,0.037346892058849335,0.03703507408499718,0.03766884282231331,0.037653058767318726,0.03597202152013779","0.43151670694351196,0.40381303429603577,0.37692347168922424,0.3502737283706665,0.32354676723480225,0.2963685393333435,0.2686243951320648,0.24045485258102417,0.21238665282726288,0.18506161868572235,0.15935316681861877,0.13641105592250824,0.11732941120862961,0.10308870673179626,0.0942019447684288,0.09036903083324432,0.09023184329271317,0.09178964793682098,0.09325309842824936,0.09356044232845306,0.0924457535147667,0.09037859737873077,0.0881238579750061,0.08633199334144592,0.0853847861289978,0.0852774977684021,0.08578982204198837,0.08662265539169312,0.08748587965965271,0.088199682533741,0.0886688157916069,0.08883172273635864,0.08877637982368469,0.08860626071691513,0.08833549171686172,0.08801914751529694","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,451,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.451,8,8,None,0.33422084158859733,0.2604726597513213,0.11170357095219027,0.33584406440833636,-0.2039552666907828,"0.22865768868617328,0.2895206332129786,0.33115755124544166,0.34455425367832304,0.35645836851041623,0.36101926482033403,0.3685312993361289,0.36868181111708537","0.17866948666717064,0.216608888871742,0.2528297769373113,0.2683471140355774,0.28213237013961323,0.2869160742037224,0.30006016601938185,0.2982174011360515","0.05228433859530294,0.08382219705604409,0.1096653237468773,0.11871763372782618,0.1270625684811077,0.13033490957141447,0.13581531859037543,0.1359262778485742","0.24809259810504927,0.27950231465612685,0.3206909535770855,0.3375626506277546,0.35595424761208044,0.3587750176428175,0.387323972195056,0.39885076085072046","0.41561139844788964,0.13859073304764535,-0.10756845361750922,-0.22259760503695003,-0.3458506235705301,-0.4137194212413049,-0.519247058725415,-0.5768611028300887","0.12625354528427124,0.11952181160449982,0.11264555901288986,0.10594140738248825,0.09915871918201447,0.09263669699430466,0.08515182137489319,0.07848762720823288,0.07116837054491043,0.06513963639736176,0.05884348973631859,0.053407859057188034,0.04886211082339287,0.046221427619457245,0.04379230737686157,0.043308138847351074,0.04372561350464821,0.04427533596754074,0.04547444358468056,0.045323632657527924,0.04512814059853554,0.04414776340126991,0.042824916541576385,0.04223222658038139,0.04071492701768875,0.04091856628656387,0.04059615358710289,0.03965707868337631,0.039200086146593094,0.03879750892519951,0.03785339370369911,0.03779585286974907,0.03729914873838425,0.035951610654592514","0.4370175898075104,0.41087114810943604,0.3850858509540558,0.35894861817359924,0.3322127163410187,0.30440181493759155,0.2757624387741089,0.2465621829032898,0.21731501817703247,0.18877406418323517,0.1620553731918335,0.1383991688489914,0.11896315217018127,0.10473567247390747,0.096071757376194,0.09218914806842804,0.09138526767492294,0.09178400039672852,0.09177277237176895,0.09080320596694946,0.0892137885093689,0.08759552240371704,0.08646849542856216,0.08608990907669067,0.08649273961782455,0.087515689432621,0.08892261981964111,0.09044642746448517,0.0918518602848053,0.09291784465312958,0.09348231554031372,0.09363549947738647,0.09346482157707214,0.0929754450917244","Alface Crespa - Roça,Alface Crespa - Roça_+50"
