experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,386,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.386,8,8,None,0.37881221335424936,0.29840607635541394,0.14349869298634535,0.36002539514650367,-0.5459010630787778,"0.3239334740500726,0.358265254505268,0.3761978535436928,0.3784770986779561,0.38515215147862436,0.4013508047907578,0.39848770120164767,0.40213905574632824","0.2517874865026185,0.27569266880642285,0.28997873768661964,0.29374682852716155,0.303056446834044,0.31839322803237224,0.32147910879597524,0.3331141056580977","0.10493289561014907,0.12835399258572447,0.1415248250108817,0.14324491422368332,0.1483421797886132,0.16108246850618896,0.15879244800897363,0.16171582015654848","0.30000487608785315,0.32183978154613213,0.33902453472723704,0.3524470419740876,0.36711016051565165,0.3870264760798841,0.3975883468651459,0.4151619433760376","-0.17284811800100952,-0.31904582016326954,-0.42933450821326025,-0.4751885087695249,-0.5712449193878935,-0.747232686143174,-0.7762720883720509,-0.8760418555800407","0.12801674008369446,0.11567245423793793,0.10394949465990067,0.0925912857055664,0.08144007623195648,0.07047770917415619,0.060061220079660416,0.051411036401987076,0.045253463089466095,0.04186040908098221,0.0423111617565155,0.04558297619223595,0.04786358401179314,0.04864615574479103,0.04763415828347206,0.04482994228601456,0.042669519782066345,0.04061899334192276,0.039350707083940506,0.03872721269726753,0.038418859243392944,0.03791414573788643,0.037536874413490295,0.03732839226722717,0.037060800939798355,0.037282273173332214,0.03707163408398628,0.0371989905834198,0.03720041736960411,0.037516072392463684,0.03709199279546738,0.03685157746076584,0.03660091012716293,0.036206088960170746,0.03600422292947769,0.036210499703884125,0.03577070310711861,0.03578367084264755,0.03547339141368866","0.41341689229011536,0.36673498153686523,0.3207884132862091,0.2743118107318878,0.22774849832057953,0.18297310173511505,0.1436002105474472,0.11467434465885162,0.10179533064365387,0.10696052014827728,0.12301678210496902,0.13595826923847198,0.13754615187644958,0.12912343442440033,0.11757019907236099,0.10842954367399216,0.10328596085309982,0.10155496746301651,0.10157843679189682,0.10196343064308167,0.10194533318281174,0.10127018392086029,0.10001242160797119,0.09843713045120239,0.09683265537023544,0.09549824893474579,0.09453616291284561,0.09394089132547379,0.09377714991569519,0.09421347826719284,0.09520820528268814,0.0966344103217125,0.09836399555206299,0.1001550555229187,0.10178274661302567,0.10329125821590424,0.10456196218729019,0.10553766787052155,0.10614155232906342","Alface Crespa - Roça"
1,V0,387,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.387,8,8,None,0.3794370049095984,0.29693214669733337,0.1439724406947666,0.36090640980393834,-0.5493135695762483,"0.3241280465874577,0.35609214519741933,0.3817101153788794,0.3897017041041686,0.3972340589629518,0.39124871618142243,0.391367770503642,0.3978815168303208","0.25216344876000374,0.2732460314360532,0.29281580498724274,0.3001713374889258,0.30954295969731876,0.30777352934895136,0.3113335825096477,0.32841047935052353","0.10505899058460116,0.12680161587129998,0.14570261218255742,0.151867418181693,0.15779489760018187,0.15307555791361124,0.1531687317889914,0.15830970143519688","0.29958515714553374,0.32260492090332443,0.34226884236386385,0.3546974925980576,0.3741065368484243,0.3820159992343189,0.39587556287607095,0.41609676646191296","-0.1742574973249631,-0.3030926271598433,-0.47152820371500437,-0.563986207624041,-0.6713683964528758,-0.6603831609768751,-0.7133644987496837,-0.836527964606699","0.1182732880115509,0.10574702173471451,0.09341282397508621,0.0814829170703888,0.06948849558830261,0.058716997504234314,0.049928393214941025,0.04524689167737961,0.044582996517419815,0.04699128493666649,0.05051782354712486,0.049806881695985794,0.04889151453971863,0.04637682065367699,0.043848857283592224,0.04167347773909569,0.040610913187265396,0.03969651833176613,0.03910360485315323,0.038654956966638565,0.038097284734249115,0.03809365630149841,0.037883881479501724,0.03756476566195488,0.038040075451135635,0.03768632188439369,0.03801245987415314,0.037659239023923874,0.03721761703491211,0.03707948327064514,0.036953892558813095,0.03654516488313675,0.0363088957965374,0.03619890660047531,0.03609582781791687","0.3556533753871918,0.3062072992324829,0.257060170173645,0.20904333889484406,0.16539518535137177,0.13196851313114166,0.11582106351852417,0.12144303321838379,0.1423856019973755,0.16109879314899445,0.16371160745620728,0.15236854553222656,0.13522350788116455,0.11987950652837753,0.1097278743982315,0.10431944578886032,0.10181058198213577,0.10062872618436813,0.0997454971075058,0.09876197576522827,0.0975857675075531,0.09648562222719193,0.09566932171583176,0.09523739665746689,0.09519030898809433,0.09547482430934906,0.09612521529197693,0.09709619730710983,0.09832043200731277,0.09969756007194519,0.10113255679607391,0.10246223211288452,0.10358522087335587,0.10451196134090424,0.10522974282503128","Alface Crespa - Roça"
1,V0,388,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.388,8,8,None,0.40252267140837306,0.32066445643432206,0.16202450099773308,0.392134807424204,-0.7568689954984058,"0.35065817867013377,0.3299449780226812,0.34721853597936614,0.3736858630803212,0.41242917361970727,0.4468568927383049,0.4928056401623312,0.43764485645476303","0.2713559358408957,0.25776925645452553,0.2792892924511071,0.2955779629620639,0.3213533359802131,0.35807556594501844,0.41585690740383036,0.366037394436923","0.12296115826825545,0.10886368852238759,0.1205607117276544,0.13964112426608458,0.17009782325263464,0.19968108258773293,0.24285739897580505,0.19153302038131015","0.3134117178403261,0.32431618642575355,0.3673441094387541,0.37871694982933124,0.3906681432004011,0.42039000860162984,0.4813374825811577,0.46089386147627776","-0.37435226792883114,-0.11875127855572631,-0.21760677389170335,-0.4380753619448696,-0.8016813624115118,-1.1659049401042476,-1.7166330934767093,-1.221946885673649","0.12238427996635437,0.10971947014331818,0.09737290441989899,0.08521115779876709,0.07362198084592819,0.06303601711988449,0.05412320792675018,0.047622840851545334,0.04436762258410454,0.04530099034309387,0.04705500230193138,0.04850524291396141,0.04866823926568031,0.04615425318479538,0.04569679871201515,0.0441715382039547,0.042331330478191376,0.04171957075595856","0.3787876069545746,0.32675132155418396,0.2757907807826996,0.22608919441699982,0.17963072657585144,0.14057713747024536,0.11467593908309937,0.10710065066814423,0.11718423664569855,0.1343006193637848,0.14576466381549835,0.14649954438209534,0.13966861367225647,0.1305200308561325,0.12229372560977936,0.11652198433876038,0.11273015290498734,0.10977603495121002","Alface Crespa - Roça"
1,V0,389,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.389,8,8,None,0.3995070444669145,0.3144259742444212,0.1596058785786892,0.37839983573823416,-0.7249262660945188,"0.28445605906227167,0.3955178745276649,0.3497253191862391,0.3860894860094457,0.4279488656010469,0.4233204164409489,0.42242957634196865,0.476799062940587","0.22077110406846712,0.3032905774911245,0.2770882521542636,0.30182134524258697,0.33291938758618905,0.3331105269663262,0.3392060946262245,0.4072005058201877","0.08091524953723858,0.1564343890708817,0.12230779887991682,0.14906509120703795,0.1831402315692229,0.17920017497573842,0.17844674696845514,0.22733734642102182","0.2731758850075032,0.33917729342410946,0.35253398178433765,0.37051823953367635,0.3837827904519249,0.40352144919904825,0.42123058556724724,0.48325846093802577","0.09560012057693068,-0.6076175183715382,-0.23525153660660303,-0.5351268196783674,-0.9398269514356441,-0.9437522033513934,-0.9961275229093025,-1.637307696980232","0.1267545074224472,0.11545757949352264,0.10448271781206131,0.09344304352998734,0.0822722315788269,0.07119221240282059,0.06103920191526413,0.05209360644221306,0.04538077488541603,0.04247867688536644,0.04280153661966324,0.046637751162052155,0.04872594028711319,0.04848959669470787,0.047732822597026825,0.045011892914772034,0.0433635376393795,0.04185769334435463,0.040082573890686035","0.4092434346675873,0.36437222361564636,0.3190353810787201,0.2725338041782379,0.2255302518606186,0.18024766445159912,0.1404523402452469,0.11175494641065598,0.09999728947877884,0.10740720480680466,0.126639261841774,0.14260181784629822,0.14656171202659607,0.140297070145607,0.129579558968544,0.1196715235710144,0.11233284324407578,0.10748232156038284,0.10449907928705215","Alface Crespa - Roça"
1,V0,390,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.390,8,8,None,0.3785652271721646,0.2948796794604171,0.1433116312239126,0.35822109712629496,-0.5434091853463773,"0.3150074976975879,0.34453171027097873,0.38207883360968364,0.379079768282614,0.3889526942941463,0.4109378843161946,0.40342687646039294,0.39492801011587886","0.2446003123774673,0.26174011820735354,0.2912102075779077,0.29079372745571713,0.30340671657070967,0.32332871857556433,0.323971629821893,0.3199860050967246","0.09922972360569586,0.11870209938224562,0.14598423509253633,0.14370147072120035,0.15128419839867563,0.16886994476627012,0.16275324465058913,0.15596813317408773","0.29180475043842774,0.3136911949629009,0.33831930956135986,0.3496840289132459,0.3677444071008165,0.3915670220334368,0.40050033532841595,0.41245772867175584","-0.10910305013487465,-0.21985693534374895,-0.4743724633246196,-0.4798902945354715,-0.602406870765394,-0.831702046405399,-0.8205780526067086,-0.8093637696548011","0.12253817915916443,0.11149249970912933,0.10064374655485153,0.0900004431605339,0.07930823415517807,0.06906998157501221,0.059668608009815216,0.05195267125964165,0.04642842337489128,0.04407575726509094,0.04481004923582077,0.04787340760231018,0.050019022077322006,0.048620179295539856,0.04808167740702629,0.04564550146460533,0.04403947666287422,0.042168982326984406,0.040879812091588974,0.040552325546741486,0.03928424045443535,0.03865428641438484,0.038517631590366364,0.038894589990377426,0.03821148723363876,0.03811652958393097,0.038236621767282486,0.03805440291762352,0.03774291276931763,0.03764098137617111,0.037522800266742706,0.03737664595246315,0.03728866204619408,0.03675830364227295,0.03682025521993637,0.03661911562085152,0.036537379026412964","0.38693103194236755,0.3407661020755768,0.29505568742752075,0.24975907802581787,0.20604108273983002,0.1664661169052124,0.13505509495735168,0.1166309043765068,0.11479617655277252,0.12794572114944458,0.14635777473449707,0.15737974643707275,0.15586590766906738,0.14604328572750092,0.13312359154224396,0.12150099128484726,0.11279747635126114,0.10693484544754028,0.10313394665718079,0.10063164681196213,0.09887861460447311,0.09753704071044922,0.09643049538135529,0.09552653133869171,0.09484271705150604,0.09438851475715637,0.09418277442455292,0.09424840658903122,0.09462955594062805,0.09531903266906738,0.09626223891973495,0.09743707627058029,0.0986705794930458,0.09978444874286652,0.10069645941257477,0.10135935246944427,0.10185704380273819","Alface Crespa - Roça"
2,V0,391,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.391,8,1,0,0.23607163358725863,0.1915303213596344,0.0557298161845569,0.2226832715970893,0.35348645751046504,"0.23607163358725863","0.1915303213596344","0.0557298161845569","0.2226832715970893","0.35348645751046504","0.11476033926010132,0.09842868894338608,0.08335370570421219,0.0692017525434494,0.056876637041568756,0.04628892242908478,0.03708195686340332,0.02957507036626339,0.025668304413557053,0.023380303755402565,0.023699669167399406,0.024696342647075653,0.02648419328033924,0.02587082050740719,0.02526388317346573,0.023173315450549126,0.021687358617782593,0.020578494295477867,0.019635653123259544,0.01859721541404724,0.018818529322743416,0.01785760000348091,0.017399877309799194,0.017339397221803665,0.01671992614865303,0.015815887600183487,0.015566570684313774,0.014968394301831722,0.014444191940128803,0.013516107574105263,0.013178201392292976,0.01249862089753151,0.01218276098370552,0.012002488598227501,0.01145445927977562,0.011062479577958584,0.011370193213224411,0.010608326643705368,0.010098354890942574,0.0098933270201087,0.009724537841975689,0.009608824737370014,0.009083396755158901","0.3439716100692749,0.2914293706417084,0.24312175810337067,0.19910264015197754,0.1602821946144104,0.12804582715034485,0.10415805131196976,0.0902424305677414,0.08693549036979675,0.09224654734134674,0.10081969201564789,0.10667980462312698,0.10627880692481995,0.10056868940591812,0.09202262759208679,0.08354242146015167,0.07666800171136856,0.07199173420667648,0.06923730671405792,0.06760066747665405,0.0663619339466095,0.0650414377450943,0.06342722475528717,0.06148165464401245,0.05951007455587387,0.05775570124387741,0.05622447282075882,0.054910484701395035,0.05382973328232765,0.052978940308094025,0.05234549567103386,0.051964208483695984,0.051830753684043884,0.05196133628487587,0.05217762663960457,0.05236676707863808,0.052645646035671234,0.05311165377497673,0.05357905849814415,0.05419706553220749,0.054891280829906464,0.05577974021434784,0.05696361884474754","Alface Crespa - Roça"
2,V0,392,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.392,8,1,0,0.24618927187116738,0.19922295696085152,0.06060915758445556,0.23005591279483187,0.2968819231797296,"0.24618927187116738","0.19922295696085152","0.06060915758445556","0.23005591279483187","0.2968819231797296","0.139516219496727,0.11542168259620667,0.09425011277198792,0.07465190440416336,0.05909760296344757,0.04559384286403656,0.03611017018556595,0.029767148196697235,0.026866067200899124,0.026230864226818085,0.030063284561038017,0.029988856986165047,0.03181136026978493,0.029136789962649345,0.026893375441432,0.02375185675919056,0.02293163351714611,0.02133180946111679,0.02078121155500412,0.020496970042586327,0.01953483559191227,0.01889093592762947,0.018470313400030136,0.01801478862762451,0.01750391535460949,0.016033906489610672,0.016075681895017624,0.015293838456273079,0.014803045429289341,0.014646053314208984,0.014078973792493343,0.013711352832615376,0.012098614126443863,0.012116861529648304,0.012309710495173931,0.011387204751372337,0.010939097963273525,0.01002099271863699,0.01020051445811987,0.010083798319101334,0.009798330254852772","0.4206220209598541,0.3432573974132538,0.27449411153793335,0.2140963226556778,0.16398826241493225,0.1267796754837036,0.10465700924396515,0.0981394574046135,0.1038912907242775,0.11425857990980148,0.12041498720645905,0.11858642101287842,0.10999024659395218,0.09886277467012405,0.08869368582963943,0.08136840909719467,0.07693605124950409,0.07467488199472427,0.07360159605741501,0.07270393520593643,0.0713656023144722,0.06936922669410706,0.06681961566209793,0.06409329175949097,0.06147773936390877,0.05909847468137741,0.05708181858062744,0.05554208904504776,0.05446939915418625,0.05383990705013275,0.053597040474414825,0.05374469608068466,0.054202284663915634,0.05478702485561371,0.055285368114709854,0.05556539073586464,0.05596814304590225,0.0565621517598629,0.05738062039017677,0.05861717090010643,0.0602567158639431","Alface Crespa - Roça"
2,V0,393,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.393,8,1,0,0.2532074612944351,0.2060778270634738,0.06411401845517287,0.2383522296658857,0.2562225388035738,"0.2532074612944351","0.2060778270634738","0.06411401845517287","0.2383522296658857","0.2562225388035738","0.13921138644218445,0.11422599107027054,0.09245418012142181,0.07401067018508911,0.05835425481200218,0.04536551982164383,0.03621663525700569,0.029257632791996002,0.026747427880764008,0.02679596282541752,0.02761100046336651,0.029028145596385002,0.029588570818305016,0.029688335955142975,0.026587478816509247,0.02480541542172432,0.023561149835586548,0.022383559495210648,0.021842990070581436,0.020877914503216743,0.020218148827552795,0.020489130169153214,0.01946347765624523,0.018275178968906403,0.017776157706975937,0.018033292144536972,0.017231248319149017,0.016841953620314598,0.015967659652233124,0.015484964475035667,0.015412614680826664,0.01511263009160757,0.014169717207551003,0.014468200504779816,0.013842820189893246,0.012974639423191547,0.012675056234002113,0.012114943005144596,0.012020845897495747,0.011142559349536896,0.010813362896442413,0.010675333440303802,0.010466618463397026,0.010557004250586033","0.41664016246795654,0.3365977108478546,0.26764073967933655,0.2090715765953064,0.1614532321691513,0.12626540660858154,0.10487863421440125,0.09792770445346832,0.10301080346107483,0.11333514750003815,0.12115184962749481,0.12181992828845978,0.1155666932463646,0.10550887137651443,0.09518255293369293,0.08687635511159897,0.08135470002889633,0.07828658074140549,0.07674424350261688,0.07581646740436554,0.0748213529586792,0.07348302006721497,0.07174324989318848,0.06961505860090256,0.06733730435371399,0.06520584225654602,0.06339903175830841,0.06186003237962723,0.06058744341135025,0.05954108387231827,0.05869169533252716,0.0581180602312088,0.05782533437013626,0.05782083421945572,0.058004315942525864,0.05815209820866585,0.05827317386865616,0.05830426514148712,0.058549605309963226,0.059106603264808655,0.05989402160048485,0.060724887996912,0.061575692147016525,0.06252279877662659","Alface Crespa - Roça"
2,V0,394,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.394,8,1,0,0.23545351326704458,0.18963807275078515,0.055438356909794345,0.21970272731270535,0.35686763443009006,"0.23545351326704458","0.18963807275078515","0.055438356909794345","0.21970272731270535","0.35686763443009006","0.1116967424750328,0.08646507561206818,0.06541290134191513,0.04877848923206329,0.03725229576230049,0.029366448521614075,0.026309451088309288,0.02511259727180004,0.026597853749990463,0.02921776846051216,0.027972526848316193,0.027207059785723686,0.023662349209189415,0.022582555189728737,0.019882524386048317,0.019748136401176453,0.01862139254808426,0.017769062891602516,0.017576711252331734,0.017166374251246452,0.015440649352967739,0.015213888138532639,0.014689228497445583,0.01405482180416584,0.013096543960273266,0.01309384498745203,0.012660869397222996,0.011748560704290867,0.011964753270149231,0.010715913958847523,0.010677540674805641,0.010594870895147324,0.009902588091790676,0.009774806909263134,0.009560507722198963,0.009179671294987202","0.2963453531265259,0.22300465404987335,0.16442349553108215,0.12239783257246017,0.09868723899126053,0.09289327263832092,0.1006552129983902,0.11249960958957672,0.11878896504640579,0.11573688685894012,0.10552792251110077,0.09264738112688065,0.08143864572048187,0.0736408457159996,0.06921316683292389,0.06692387163639069,0.06562308967113495,0.0643768459558487,0.06256992369890213,0.060260847210884094,0.05777939036488533,0.0555415004491806,0.05372215062379837,0.05240946635603905,0.05153828114271164,0.05110405012965202,0.05125592276453972,0.05177824944257736,0.052292756736278534,0.052993044257164,0.05393147096037865,0.054910339415073395,0.055637605488300323,0.056223057210445404,0.056988995522260666,0.05799880251288414","Alface Crespa - Roça"
2,V0,395,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.395,8,1,0,0.23688397218516866,0.19332532499053262,0.05611401627822375,0.22545572306080328,0.34902940775528923,"0.23688397218516866","0.19332532499053262","0.05611401627822375","0.22545572306080328","0.34902940775528923","0.12023062258958817,0.10284464061260223,0.0860808715224266,0.07180604338645935,0.059146471321582794,0.04758557677268982,0.03907343000173569,0.031143534928560257,0.026511386036872864,0.023407291620969772,0.023974472656846046,0.025835491716861725,0.025902794674038887,0.02557637356221676,0.024177342653274536,0.02332797460258007,0.022717678919434547,0.02088893949985504,0.019458850845694542,0.01903453841805458,0.017978854477405548,0.01758245937526226,0.015937216579914093,0.016652626916766167,0.01547151431441307,0.014834514819085598,0.014370681717991829,0.014129623770713806,0.013726395554840565,0.01312586385756731,0.013122954405844212,0.01184284407645464,0.012017888016998768,0.011937839910387993,0.010574729181826115,0.011223972775042057,0.01085687056183815,0.010872126556932926,0.01008901372551918,0.009889915585517883,0.009476172737777233,0.009631493128836155","0.36335518956184387,0.3067954480648041,0.25590261816978455,0.21017560362815857,0.169814333319664,0.13579528033733368,0.10983283072710037,0.09333796054124832,0.08724534511566162,0.09022045135498047,0.09754732251167297,0.1033836156129837,0.1040196493268013,0.0990292876958847,0.0913316085934639,0.08340160548686981,0.07663672417402267,0.07187504321336746,0.06912046670913696,0.06762535125017166,0.06661500036716461,0.065590038895607,0.06420740485191345,0.06246022880077362,0.06053835153579712,0.05873864144086838,0.057191140949726105,0.05593207851052284,0.05504443496465683,0.0544300302863121,0.05408983677625656,0.05401696637272835,0.0542050264775753,0.05458392947912216,0.05509411543607712,0.05559253692626953,0.056117888540029526,0.05667669326066971,0.057260625064373016,0.0578809529542923,0.05869241803884506,0.05968045815825462","Alface Crespa - Roça"
