Produto,Região,Dia,Mês,Ano,Moeda,Unidade,Preço
Alface Americana - Roça,Teresópolis (região),27,3,2024,R$   ,Caixa 12 pés,24
Alface Crespa - Roça,Teresópolis (região),27,3,2024,R$   ,Caixa 24 pés,"26,54"
Alface Lisa - Roça,Teresópolis (região),27,3,2024,R$   ,Caixa 24 pés,"26,54"
Alface Americana - Roça,Teresópolis (região),21,3,2024,R$   ,Caixa 12 pés,19
Alface Crespa - Roça,Teresópolis (região),21,3,2024,R$   ,Caixa 24 pés,"24,8"
Alface Lisa - Roça,Teresópolis (região),21,3,2024,R$   ,Caixa 24 pés,"24,8"
Alface Americana - Roça,Teresópolis (região),14,3,2024,R$   ,Caixa 12 pés,"16,6"
Alface Crespa - Roça,Teresópolis (região),14,3,2024,R$   ,Caixa 24 pés,"22,53"
Alface Lisa - Roça,Teresópolis (região),14,3,2024,R$   ,Caixa 24 pés,"22,53"
Alface Americana - Roça,Teresópolis (região),7,3,2024,R$   ,Caixa 12 pés,16
Alface Crespa - Roça,Teresópolis (região),7,3,2024,R$   ,Caixa 24 pés,"24,2"
Alface Lisa - Roça,Teresópolis (região),7,3,2024,R$   ,Caixa 24 pés,"24,2"
Alface Americana - Roça,Teresópolis (região),29,2,2024,R$   ,Caixa 12 pés,16
Alface Crespa - Roça,Teresópolis (região),29,2,2024,R$   ,Caixa 24 pés,"24,2"
Alface Lisa - Roça,Teresópolis (região),29,2,2024,R$   ,Caixa 24 pés,"24,2"
Alface Americana - Roça,Teresópolis (região),16,2,2024,R$   ,Caixa 12 pés,24
Alface Crespa - Roça,Teresópolis (região),16,2,2024,R$   ,Caixa 24 pés,"23,25"
Alface Lisa - Roça,Teresópolis (região),16,2,2024,R$   ,Caixa 24 pés,24
Alface Americana - Roça,Teresópolis (região),9,2,2024,R$   ,Caixa 12 pés,24
Alface Crespa - Roça,Teresópolis (região),9,2,2024,R$   ,Caixa 24 pés,27
Alface Lisa - Roça,Teresópolis (região),9,2,2024,R$   ,Caixa 24 pés,27
Alface Americana - Roça,Teresópolis (região),31,1,2024,R$   ,Caixa 12 pés,"17,67"
Alface Crespa - Roça,Teresópolis (região),31,1,2024,R$   ,Caixa 24 pés,"31,67"
Alface Lisa - Roça,Teresópolis (região),31,1,2024,R$   ,Caixa 24 pés,"31,67"
Alface Americana - Roça,Teresópolis (região),26,1,2024,R$   ,Caixa 12 pés,"11,25"
Alface Crespa - Roça,Teresópolis (região),26,1,2024,R$   ,Caixa 24 pés,"7,5"
Alface Lisa - Roça,Teresópolis (região),26,1,2024,R$   ,Caixa 24 pés,"7,5"
Alface Americana - Roça,Teresópolis (região),25,1,2024,R$   ,Caixa 12 pés,12
Alface Crespa - Roça,Teresópolis (região),25,1,2024,R$   ,Caixa 24 pés,11
Alface Lisa - Roça,Teresópolis (região),25,1,2024,R$   ,Caixa 24 pés,11
Alface Americana - Roça,Teresópolis (região),18,1,2024,R$   ,Caixa 12 pés,"11,63"
Alface Crespa - Roça,Teresópolis (região),18,1,2024,R$   ,Caixa 24 pés,"9,25"
Alface Lisa - Roça,Teresópolis (região),18,1,2024,R$   ,Caixa 24 pés,"9,25"
Alface Americana - Roça,Teresópolis (região),11,1,2024,R$   ,Caixa 12 pés,9
Alface Crespa - Roça,Teresópolis (região),11,1,2024,R$   ,Caixa 24 pés,"10,5"
Alface Lisa - Roça,Teresópolis (região),11,1,2024,R$   ,Caixa 24 pés,"10,5"
Alface Americana - Roça,Teresópolis (região),5,1,2024,R$   ,Caixa 12 pés,14
Alface Crespa - Roça,Teresópolis (região),5,1,2024,R$   ,Caixa 24 pés,15
Alface Lisa - Roça,Teresópolis (região),5,1,2024,R$   ,Caixa 24 pés,15
Alface Americana - Roça,Teresópolis (região),28,12,2023,R$   ,Caixa 12 pés,14
Alface Crespa - Roça,Teresópolis (região),28,12,2023,R$   ,Caixa 24 pés,15
Alface Lisa - Roça,Teresópolis (região),28,12,2023,R$   ,Caixa 24 pés,15
Alface Americana - Roça,Teresópolis (região),22,12,2023,R$   ,Caixa 12 pés,"13,5"
Alface Crespa - Roça,Teresópolis (região),22,12,2023,R$   ,Caixa 24 pés,"13,5"
Alface Lisa - Roça,Teresópolis (região),22,12,2023,R$   ,Caixa 24 pés,"13,5"
Alface Americana - Roça,Teresópolis (região),15,12,2023,R$   ,Caixa 12 pés,"13,5"
Alface Crespa - Roça,Teresópolis (região),15,12,2023,R$   ,Caixa 24 pés,"13,5"
Alface Lisa - Roça,Teresópolis (região),15,12,2023,R$   ,Caixa 24 pés,"13,5"
Alface Americana - Roça,Teresópolis (região),8,12,2023,R$   ,Caixa 12 pés,"17,5"
Alface Crespa - Roça,Teresópolis (região),8,12,2023,R$   ,Caixa 24 pés,"16,25"
Alface Lisa - Roça,Teresópolis (região),8,12,2023,R$   ,Caixa 24 pés,"16,25"
Alface Americana - Roça,Teresópolis (região),1,12,2023,R$   ,Caixa 12 pés,"22,5"
Alface Crespa - Roça,Teresópolis (região),1,12,2023,R$   ,Caixa 24 pés,18
Alface Lisa - Roça,Teresópolis (região),1,12,2023,R$   ,Caixa 24 pés,18
Alface Americana - Roça,Teresópolis (região),24,11,2023,R$   ,Caixa 12 pés,"28,5"
Alface Crespa - Roça,Teresópolis (região),24,11,2023,R$   ,Caixa 24 pés,"29,4"
Alface Lisa - Roça,Teresópolis (região),24,11,2023,R$   ,Caixa 24 pés,"29,4"
Alface Americana - Roça,Teresópolis (região),17,11,2023,R$   ,Caixa 12 pés,"35,75"
Alface Crespa - Roça,Teresópolis (região),17,11,2023,R$   ,Caixa 24 pés,"36,25"
Alface Lisa - Roça,Teresópolis (região),17,11,2023,R$   ,Caixa 24 pés,"36,25"
Alface Americana - Roça,Teresópolis (região),10,11,2023,R$   ,Caixa 12 pés,"16,5"
Alface Crespa - Roça,Teresópolis (região),10,11,2023,R$   ,Caixa 24 pés,"22,8"
Alface Lisa - Roça,Teresópolis (região),10,11,2023,R$   ,Caixa 24 pés,"22,8"
Alface Americana - Roça,Teresópolis (região),3,11,2023,R$   ,Caixa 12 pés,"16,5"
Alface Crespa - Roça,Teresópolis (região),3,11,2023,R$   ,Caixa 24 pés,"22,8"
Alface Lisa - Roça,Teresópolis (região),3,11,2023,R$   ,Caixa 24 pés,"22,8"
Alface Americana - Roça,Teresópolis (região),6,10,2023,R$   ,Caixa 12 pés,"8,67"
Alface Crespa - Roça,Teresópolis (região),6,10,2023,R$   ,Caixa 24 pés,"8,5"
Alface Lisa - Roça,Teresópolis (região),6,10,2023,R$   ,Caixa 24 pés,"8,5"
Alface Americana - Roça,Teresópolis (região),29,9,2023,R$   ,Caixa 12 pés,8
Alface Crespa - Roça,Teresópolis (região),29,9,2023,R$   ,Caixa 24 pés,"8,8"
