Produto,Região,Dia,Mês,Ano,Moeda,Unidade,Preco,Preco_unitario
Alface Americana - Roça,Teresópolis (região),22,9,2023,R$   ,12,7.50,0.62500
Alface Crespa - Roça,Teresópolis (região),22,9,2023,R$   ,24,9.80,0.40833
Alface Lisa - Roça,Teresópolis (região),22,9,2023,R$   ,24,9.80,0.40833
Alface Americana - Roça,Teresópolis (região),15,9,2023,R$   ,12,6.40,0.53333
Alface Crespa - Roça,Teresópolis (região),15,9,2023,R$   ,24,8.00,0.33333
Alface Lisa - Roça,Teresópolis (região),15,9,2023,R$   ,24,8.00,0.33333
Alface Americana - Roça,Teresópolis (região),8,9,2023,R$   ,12,6.40,0.53333
Alface Crespa - Roça,Teresópolis (região),8,9,2023,R$   ,24,8.50,0.35417
Alface Lisa - Roça,Teresópolis (região),8,9,2023,R$   ,24,8.50,0.35417
Alface Americana - Roça,Teresópolis (região),31,8,2023,R$   ,12,6.90,0.57500
Alface Crespa - Roça,Teresópolis (região),31,8,2023,R$   ,24,9.00,0.37500
Alface Lisa - Roça,Teresópolis (região),31,8,2023,R$   ,24,9.00,0.37500
Alface Americana - Roça,Teresópolis (região),25,8,2023,R$   ,12,9.00,0.75000
Alface Crespa - Roça,Teresópolis (região),25,8,2023,R$   ,24,9.80,0.40833
Alface Lisa - Roça,Teresópolis (região),25,8,2023,R$   ,24,9.80,0.40833
Alface Americana - Roça,Teresópolis (região),17,8,2023,R$   ,12,9.33,0.77750
Alface Crespa - Roça,Teresópolis (região),17,8,2023,R$   ,24,10.50,0.43750
Alface Lisa - Roça,Teresópolis (região),17,8,2023,R$   ,24,10.50,0.43750
Alface Americana - Roça,Teresópolis (região),11,8,2023,R$   ,12,10.80,0.90000
Alface Crespa - Roça,Teresópolis (região),11,8,2023,R$   ,24,19.00,0.79167
Alface Lisa - Roça,Teresópolis (região),11,8,2023,R$   ,24,19.00,0.79167
Alface Americana - Roça,Teresópolis (região),4,8,2023,R$   ,12,9.20,0.76667
Alface Crespa - Roça,Teresópolis (região),4,8,2023,R$   ,24,18.00,0.75000
