Produto,Região,Dia,Mês,Ano,Moeda,Unidade,Preço
Alface Americana - Roça,Teresópolis (região),17,8,2023,R$   ,Caixa 12 pés,"9,33"
Alface Crespa - Roça,Teresópolis (região),17,8,2023,R$   ,Caixa 24 pés,"10,5"
Alface Lisa - Roça,Teresópolis (região),17,8,2023,R$   ,Caixa 24 pés,"10,5"
Alface Americana - Roça,Teresópolis (região),11,8,2023,R$   ,Caixa 12 pés,"10,8"
Alface Crespa - Roça,Teresópolis (região),11,8,2023,R$   ,Caixa 24 pés,19
Alface Lisa - Roça,Teresópolis (região),11,8,2023,R$   ,Caixa 24 pés,19
Alface Americana - Roça,Teresópolis (região),4,8,2023,R$   ,Caixa 12 pés,"9,2"
Alface Crespa - Roça,Teresópolis (região),4,8,2023,R$   ,Caixa 24 pés,18
Alface Lisa - Roça,Teresópolis (região),4,8,2023,R$   ,Caixa 24 pés,18
Alface Americana - Roça,Teresópolis (região),28,7,2023,R$   ,Caixa 12 pés,"9,8"
Alface Crespa - Roça,Teresópolis (região),28,7,2023,R$   ,Caixa 24 pés,"18,6"
Alface Lisa - Roça,Teresópolis (região),28,7,2023,R$   ,Caixa 24 pés,"19,6"
Alface Americana - Roça,Teresópolis (região),20,7,2023,R$   ,Caixa 12 pés,"11,55"
Alface Crespa - Roça,Teresópolis (região),20,7,2023,R$   ,Caixa 24 pés,"19,6"
Alface Lisa - Roça,Teresópolis (região),20,7,2023,R$   ,Caixa 24 pés,"19,6"
Alface Americana - Roça,Teresópolis (região),14,7,2023,R$   ,Caixa 12 pés,"11,55"
Alface Crespa - Roça,Teresópolis (região),14,7,2023,R$   ,Caixa 24 pés,"19,6"
Alface Americana - Roça,Teresópolis (região),5,7,2023,R$   ,Caixa 12 pés,"10,87"
Alface Crespa - Roça,Teresópolis (região),5,7,2023,R$   ,Caixa 24 pés,"18,4"
Alface Lisa - Roça,Teresópolis (região),5,7,2023,R$   ,Caixa 24 pés,"21,73"
Alface Americana - Roça,Teresópolis (região),30,6,2023,R$   ,Caixa 12 pés,14
Alface Crespa - Roça,Teresópolis (região),30,6,2023,R$   ,Caixa 24 pés,26
Alface Lisa - Roça,Teresópolis (região),30,6,2023,R$   ,Caixa 24 pés,26
Alface Americana - Roça,Teresópolis (região),23,6,2023,R$   ,Caixa 12 pés,"15,33"
Alface Crespa - Roça,Teresópolis (região),23,6,2023,R$   ,Caixa 24 pés,"27,67"
Alface Lisa - Roça,Teresópolis (região),23,6,2023,R$   ,Caixa 24 pés,"27,67"
Alface Americana - Roça,Teresópolis (região),16,6,2023,R$   ,Caixa 12 pés,"15,33"
Alface Crespa - Roça,Teresópolis (região),16,6,2023,R$   ,Caixa 24 pés,"29,5"
Alface Lisa - Roça,Teresópolis (região),16,6,2023,R$   ,Caixa 24 pés,"29,5"
Alface Americana - Roça,Teresópolis (região),7,6,2023,R$   ,Caixa 12 pés,15
Alface Crespa - Roça,Teresópolis (região),7,6,2023,R$   ,Caixa 24 pés,"29,5"
Alface Lisa - Roça,Teresópolis (região),7,6,2023,R$   ,Caixa 24 pés,"29,5"
Alface Americana - Roça,Teresópolis (região),2,6,2023,R$   ,Caixa 12 pés,18
Alface Crespa - Roça,Teresópolis (região),2,6,2023,R$   ,Caixa 24 pés,"29,67"
Alface Lisa - Roça,Teresópolis (região),2,6,2023,R$   ,Caixa 24 pés,"29,67"
Alface Americana - Roça,Teresópolis (região),26,5,2023,R$   ,Caixa 12 pés,"18,67"
Alface Crespa - Roça,Teresópolis (região),26,5,2023,R$   ,Caixa 24 pés,"31,33"
Alface Lisa - Roça,Teresópolis (região),26,5,2023,R$   ,Caixa 24 pés,"31,33"
Alface Americana - Roça,Teresópolis (região),18,5,2023,R$   ,Caixa 12 pés,18
Alface Crespa - Roça,Teresópolis (região),18,5,2023,R$   ,Caixa 24 pés,30
Alface Lisa - Roça,Teresópolis (região),18,5,2023,R$   ,Caixa 24 pés,30
Alface Americana - Roça,Teresópolis (região),12,5,2023,R$   ,Caixa 12 pés,18
Alface Crespa - Roça,Teresópolis (região),12,5,2023,R$   ,Caixa 24 pés,28
Alface Lisa - Roça,Teresópolis (região),12,5,2023,R$   ,Caixa 24 pés,28
Alface Americana - Roça,Teresópolis (região),5,5,2023,R$   ,Caixa 12 pés,17
Alface Crespa - Roça,Teresópolis (região),5,5,2023,R$   ,Caixa 24 pés,24
Alface Lisa - Roça,Teresópolis (região),5,5,2023,R$   ,Caixa 24 pés,24
Alface Americana - Roça,Teresópolis (região),28,4,2023,R$   ,Caixa 12 pés,"17,2"
Alface Crespa - Roça,Teresópolis (região),28,4,2023,R$   ,Caixa 24 pés,"24,8"
Alface Lisa - Roça,Teresópolis (região),28,4,2023,R$   ,Caixa 24 pés,"24,8"
Alface Americana - Roça,Teresópolis (região),20,4,2023,R$   ,Caixa 12 pés,12
Alface Crespa - Roça,Teresópolis (região),20,4,2023,R$   ,Caixa 24 pés,"21,33"
Alface Lisa - Roça,Teresópolis (região),20,4,2023,R$   ,Caixa 24 pés,"21,33"
Alface Americana - Roça,Teresópolis (região),19,4,2023,R$   ,Caixa 12 pés,22
Alface Crespa - Roça,Teresópolis (região),19,4,2023,R$   ,Caixa 24 pés,24
Alface Lisa - Roça,Teresópolis (região),19,4,2023,R$   ,Caixa 24 pés,24
Alface Americana - Roça,Teresópolis (região),14,4,2023,R$   ,Caixa 12 pés,17
Alface Crespa - Roça,Teresópolis (região),14,4,2023,R$   ,Caixa 24 pés,"21,07"
Alface Lisa - Roça,Teresópolis (região),14,4,2023,R$   ,Caixa 24 pés,"21,07"
Alface Americana - Roça,Teresópolis (região),6,4,2023,R$   ,Caixa 12 pés,"12,5"
Alface Crespa - Roça,Teresópolis (região),6,4,2023,R$   ,Caixa 24 pés,19
Alface Lisa - Roça,Teresópolis (região),6,4,2023,R$   ,Caixa 24 pés,19
Alface Americana - Roça,Teresópolis (região),31,3,2023,R$   ,Caixa 12 pés,"12,5"
Alface Crespa - Roça,Teresópolis (região),31,3,2023,R$   ,Caixa 24 pés,"19,11"
Alface Lisa - Roça,Teresópolis (região),31,3,2023,R$   ,Caixa 24 pés,"19,11"
Alface Americana - Roça,Teresópolis (região),24,3,2023,R$   ,Caixa 12 pés,"12,5"
Alface Crespa - Roça,Teresópolis (região),24,3,2023,R$   ,Caixa 24 pés,"14,77"
Alface Lisa - Roça,Teresópolis (região),24,3,2023,R$   ,Caixa 24 pés,"14,75"
Alface Americana - Roça,Teresópolis (região),17,3,2023,R$   ,Caixa 12 pés,9
Alface Crespa - Roça,Teresópolis (região),17,3,2023,R$   ,Caixa 24 pés,"13,8"
Alface Lisa - Roça,Teresópolis (região),17,3,2023,R$   ,Caixa 24 pés,"13,8"
Alface Americana - Roça,Teresópolis (região),10,3,2023,R$   ,Caixa 12 pés,"10,2"
Alface Crespa - Roça,Teresópolis (região),10,3,2023,R$   ,Caixa 24 pés,17
Alface Lisa - Roça,Teresópolis (região),10,3,2023,R$   ,Caixa 24 pés,17
Alface Americana - Roça,Teresópolis (região),3,3,2023,R$   ,Caixa 12 pés,"9,5"
Alface Crespa - Roça,Teresópolis (região),3,3,2023,R$   ,Caixa 24 pés,"16,67"
Alface Lisa - Roça,Teresópolis (região),3,3,2023,R$   ,Caixa 24 pés,"16,67"
Alface Americana - Roça,Teresópolis (região),24,2,2023,R$   ,Caixa 12 pés,"9,98"
Alface Crespa - Roça,Teresópolis (região),24,2,2023,R$   ,Caixa 24 pés,"20,67"
Alface Lisa - Roça,Teresópolis (região),24,2,2023,R$   ,Caixa 24 pés,"20,67"
Alface Americana - Roça,Teresópolis (região),16,2,2023,R$   ,Caixa 12 pés,"15,6"
Alface Crespa - Roça,Teresópolis (região),16,2,2023,R$   ,Caixa 24 pés,"23,07"
Alface Lisa - Roça,Teresópolis (região),16,2,2023,R$   ,Caixa 24 pés,"23,07"
Alface Americana - Roça,Teresópolis (região),10,2,2023,R$   ,Caixa 12 pés,"27,5"
Alface Crespa - Roça,Teresópolis (região),10,2,2023,R$   ,Caixa 24 pés,27
Alface Lisa - Roça,Teresópolis (região),10,2,2023,R$   ,Caixa 24 pés,27
Alface Americana - Roça,Teresópolis (região),3,2,2023,R$   ,Caixa 12 pés,29
Alface Crespa - Roça,Teresópolis (região),3,2,2023,R$   ,Caixa 24 pés,28
Alface Lisa - Roça,Teresópolis (região),3,2,2023,R$   ,Caixa 24 pés,28
Alface Americana - Roça,Teresópolis (região),27,1,2023,R$   ,Caixa 12 pés,27
Alface Crespa - Roça,Teresópolis (região),27,1,2023,R$   ,Caixa 24 pés,27
Alface Lisa - Roça,Teresópolis (região),27,1,2023,R$   ,Caixa 24 pés,"25,5"
Alface Americana - Roça,Teresópolis (região),19,1,2023,R$   ,Caixa 12 pés,"13,5"
Alface Crespa - Roça,Teresópolis (região),19,1,2023,R$   ,Caixa 24 pés,24
Alface Lisa - Roça,Teresópolis (região),19,1,2023,R$   ,Caixa 24 pés,24
Alface Americana - Roça,Teresópolis (região),13,1,2023,R$   ,Caixa 12 pés,12
Alface Crespa - Roça,Teresópolis (região),13,1,2023,R$   ,Caixa 24 pés,"17,5"
Alface Lisa - Roça,Teresópolis (região),13,1,2023,R$   ,Caixa 24 pés,"17,5"
Alface Americana - Roça,Teresópolis (região),6,1,2023,R$   ,Caixa 12 pés,"10,5"
Alface Crespa - Roça,Teresópolis (região),6,1,2023,R$   ,Caixa 24 pés,"12,5"
Alface Lisa - Roça,Teresópolis (região),6,1,2023,R$   ,Caixa 24 pés,"12,5"
Alface Americana - Roça,Teresópolis (região),30,12,2022,R$   ,Caixa 12 pés,11
Alface Crespa - Roça,Teresópolis (região),30,12,2022,R$   ,Caixa 24 pés,"12,83"
Alface Lisa - Roça,Teresópolis (região),30,12,2022,R$   ,Caixa 24 pés,"12,83"
Alface Americana - Roça,Teresópolis (região),22,12,2022,R$   ,Caixa 12 pés,"10,5"
