model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/,8,8,None,0.433891623701992,0.31754925681242824,"0.36408014807258876,0.39152531118118056,0.4123799554986618,0.4359069401842447,0.44459130785909134,0.44845969648805745,0.4756280523186558,0.48495096936247556","0.26161128223347097,0.2805237718585707,0.2994779182361461,0.3174826509778632,0.3270133812896047,0.3312617813725658,0.3567614176494563,0.3662618508817483","0.10398297756910324,0.08300632238388062,0.06572511792182922,0.05142856016755104,0.03976956754922867,0.03204919397830963,0.028591584414243698,0.028110235929489136,0.027968280017375946,0.028182726353406906","0.7193761467933655,0.6368808150291443,0.5570346713066101,0.48025718331336975,0.40957581996917725,0.35009729862213135,0.30695948004722595,0.2830195128917694,0.2767872214317322,0.2832700312137604"
V0,saved_models//model_V0.4,8,8,None,0.4249736236528725,0.3125564022478444,"0.34238485999390883,0.38712882248575,0.41514811896579223,0.4415623106684657,0.44165341375291245,0.44297020279749383,0.45149943736919723,0.46396897911229895","0.24791304415919288,0.27970758872583346,0.30029403092703044,0.32342751035441325,0.3261972004516192,0.3297062103347456,0.3389305917589008,0.35427504127101983","0.0942663699388504,0.07142283022403717,0.05320961773395538,0.039605773985385895,0.030971456319093704,0.026907900348305702,0.027430102229118347,0.028382577002048492,0.027260247617959976","0.6656597256660461,0.5705586075782776,0.4815013110637665,0.40111398696899414,0.33505359292030334,0.28867897391319275,0.26455143094062805,0.2601131498813629,0.26939618587493896"
V0,saved_models/model_V0.5,8,8,None,0.4302991842889926,0.315927336951547,"0.32668118658366385,0.3879812235173809,0.40893029768975525,0.4328878541825015,0.4382019080183292,0.4693896035954558,0.478013772544037,0.47806747950982503","0.24097486662308343,0.2788176293156305,0.29590833355762625,0.31526583731431224,0.3240532426437469,0.347548489552133,0.3579932022713308,0.36685709433451363","0.09568656235933304,0.07515108585357666,0.05748935043811798,0.04413114860653877,0.03413938358426094,0.02904387190937996,0.02628018707036972,0.026736706495285034,0.027592940255999565,0.027195634320378304","0.6787182688713074,0.5947046875953674,0.5162670016288757,0.4431377947330475,0.37805700302124023,0.32570257782936096,0.2905850410461426,0.2739357054233551,0.2723672688007355,0.28182658553123474"
V0,saved_models/model_V0.6,8,8,None,0.43936366743088096,0.32158161419969256,"0.36354432290202354,0.4137549559118921,0.433987471827586,0.4284361950180895,0.4491230361585446,0.4499087424667662,0.4874115119462331,0.4768267618031522","0.2626638817344078,0.2943709508258123,0.31230508684628755,0.3132056413480212,0.3296033785867695,0.3369810919708441,0.36571555020367136,0.35780733208172705","0.09757434576749802,0.07494591176509857,0.0571102611720562,0.04338614642620087,0.033231865614652634,0.027757078409194946,0.026647256687283516,0.026817506179213524,0.02701791562139988","0.704110324382782,0.6109867095947266,0.5241804122924805,0.44470587372779846,0.37629184126853943,0.32468482851982117,0.29302170872688293,0.2801687717437744,0.28296101093292236"
V0,saved_models/model_V0.7,8,8,None,0.43458176109914104,0.31880644820302095,"0.35952134536262376,0.39807346622100725,0.4455643264028297,0.4556231543573458,0.43916293358781505,0.44058062749989874,0.4750546818458999,0.45210620909358734","0.2590435439415879,0.283692000082039,0.3226477155036221,0.33005902863713515,0.32359235198577285,0.3285058906188404,0.3541902371866191,0.3487208176685515","0.10173433274030685,0.07716184854507446,0.05825181305408478,0.04380059242248535,0.0341489277780056,0.028441140428185463,0.02863517589867115,0.028552992269396782,0.028407355770468712","0.708905041217804,0.6075341701507568,0.5157248377799988,0.43432340025901794,0.36678728461265564,0.3169689476490021,0.28759345412254333,0.27680566906929016,0.2803841829299927"
V0,saved_models/model_V0.8,8,8,None,0.4248337384901269,0.3118225769405152,"0.32304424595805026,0.3713913407095425,0.4281163778984998,0.4096886703767173,0.44406902893859346,0.47025050387868367,0.4681945284178319,0.46142511322461904","0.23847323891054467,0.2674891391263324,0.3121348681482029,0.2983225511987486,0.3265978482402459,0.34681550857052346,0.3493173581289888,0.35543010320053475","0.10430537164211273,0.08064624667167664,0.06188406050205231,0.04690147563815117,0.03553498163819313,0.029356177896261215,0.027360115200281143,0.02754512056708336,0.028758777305483818","0.7060043215751648,0.6136666536331177,0.528770387172699,0.4505906105041504,0.38175177574157715,0.3268515467643738,0.29033979773521423,0.27335405349731445,0.2740766704082489"
V0,saved_models/model_V0.9,8,8,None,0.41614718669396816,0.3103707123574788,"0.29252713550604464,0.3540893729584822,0.3986905642783351,0.4276344144865285,0.4380895692520767,0.4569672362015742,0.46376306650623567,0.4656537049081391","0.2284521746290508,0.2640702195041954,0.2954241519881272,0.3170717038456595,0.3265520375665591,0.3410321108677462,0.34735820613664825,0.36300509432184447","0.10652433335781097,0.0954054519534111,0.08487006276845932,0.07528169453144073,0.06609062850475311,0.05741898715496063,0.049660149961709976,0.04311860725283623,0.03882402181625366,0.035576317459344864,0.034237150102853775,0.03401947766542435,0.0332203283905983,0.03303546831011772,0.03312838822603226","0.7463756203651428,0.6877666115760803,0.6307799220085144,0.5745046734809875,0.5185982584953308,0.46376514434814453,0.4115746021270752,0.36437296867370605,0.3250926434993744,0.29551219940185547,0.27585312724113464,0.26475977897644043,0.2599997818470001,0.25950825214385986,0.2621542513370514"
V0,saved_models/model_V0.10,8,8,None,0.43966124280026486,0.32186977392174126,"0.34848717912498167,0.3878917788882471,0.4301817690692044,0.4643047170586699,0.4583245943777858,0.47335055639565055,0.4743490933455357,0.46340937742993993","0.25355096779762953,0.27898995083471423,0.3100934591989661,0.3365750010591144,0.3368095473608821,0.3520233782489481,0.35446812984482384,0.3524477570288522","0.09571308642625809,0.07343360781669617,0.055683672428131104,0.04268566146492958,0.03266192227602005,0.028844933956861496,0.02712838165462017,0.028410909697413445,0.02782006934285164","0.6855124831199646,0.5927652716636658,0.507750928401947,0.4315820634365082,0.36774682998657227,0.32048219442367554,0.2917051613330841,0.28126659989356995,0.286220908164978"
V0,saved_models/model_V0.11,8,8,None,0.42707061072756264,0.313019463648559,"0.3293754891106678,0.3542059019224329,0.42804162310340393,0.46917776303949354,0.4404208956268013,0.46074998295851144,0.4398408033082721,0.4712705908483394","0.24152484093817764,0.2564515460397719,0.30945753206326115,0.34320671679558745,0.32369215725414724,0.34109586363999456,0.33075567271537426,0.3579713797421579","0.09551478922367096,0.07362323254346848,0.05455813556909561,0.04069925472140312,0.030498690903186798,0.02681080438196659,0.02674711123108864,0.027653923258185387,0.027986764907836914","0.6739931702613831,0.5807880759239197,0.4922337532043457,0.41125309467315674,0.34340450167655945,0.2950625717639923,0.26997002959251404,0.26469871401786804,0.27409353852272034"
